2017-10-07 00:05:03.953 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-07 00:08:47.353 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-07 00:12:07.294 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-07 00:15:01.957 +02:00 [Information] Path /
2017-10-07 00:15:02.105 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yGFB3BmiFd_ZPFApp-NU0ceAdbEvc3J-dgWTB_7UrVc1vsVM5g30v0FxsOfqZTzsc7jPQbWqgiiHu-x0g8kzNb6CGJWAlVzfSKPu6HUkK9Vwzd8nwLcYaGD2gpygLice_o
2017-10-07 00:18:08.465 +02:00 [Information] Path /
2017-10-07 00:18:08.501 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yEdBogO2GIatKPjZpBUAllJLYMNShguazATtc8FyX4decQcPbOrzODnfsLedcmenOZcz-urE983edV7lDwUNk37VYaoY5Fmp87nfgRUQKHixHPuanOiohQUmwIuM7BpeGg
2017-10-07 00:21:09.221 +02:00 [Information] Path /api/user/login
2017-10-07 00:21:11.321 +02:00 [Information] Belepes: False
2017-10-07 00:21:11.405 +02:00 [Information] Path /api/xsrftoken/get
2017-10-07 00:21:16.205 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:21:26.193 +02:00 [Information] Path /api/campus/list
2017-10-07 00:22:02.665 +02:00 [Information] Path /api/project/add
2017-10-07 00:22:04.429 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:22:32.433 +02:00 [Information] Path /api/campus/list
2017-10-07 00:22:43.676 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:22:51.370 +02:00 [Information] Path /api/campus/list
2017-10-07 00:23:05.403 +02:00 [Information] Path /api/project/add
2017-10-07 00:23:07.459 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:30:50.959 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-07 00:33:11.087 +02:00 [Information] Path /projects
2017-10-07 00:33:58.230 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:40:28.402 +02:00 [Information] Path /api/campus/list
2017-10-07 00:40:30.135 +02:00 [Information] Path /api/campus/list
2017-10-07 00:41:05.719 +02:00 [Information] Path /api/project/add
2017-10-07 00:41:07.942 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:41:18.200 +02:00 [Information] Path /api/campus/list
2017-10-07 00:41:26.715 +02:00 [Information] Path /api/campus/list
2017-10-07 00:41:32.235 +02:00 [Information] Path /projects
2017-10-07 00:41:41.633 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:44:02.978 +02:00 [Information] Path /projects
2017-10-07 00:44:48.049 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:44:52.501 +02:00 [Information] Path /api/campus/list
2017-10-07 00:45:12.551 +02:00 [Information] Path /api/campus/list
2017-10-07 00:45:14.680 +02:00 [Information] Path /projects
2017-10-07 00:45:27.723 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:45:44.526 +02:00 [Information] Path /api/campus/list
2017-10-07 00:45:59.898 +02:00 [Information] Path /api/campus/list
2017-10-07 00:46:02.486 +02:00 [Information] Path /projects
2017-10-07 00:46:14.820 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:48:44.712 +02:00 [Information] Path /api/campus/list
2017-10-07 00:48:55.546 +02:00 [Information] Path /api/campus/list
2017-10-07 00:48:59.412 +02:00 [Information] Path /projects
2017-10-07 00:49:07.251 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:49:15.108 +02:00 [Information] Path /api/campus/list
2017-10-07 00:49:59.800 +02:00 [Information] Path /api/project/add
2017-10-07 00:50:00.410 +02:00 [Information] Path /api/project/current/list
2017-10-07 00:50:08.181 +02:00 [Information] Path /api/campus/list
2017-10-07 00:50:21.382 +02:00 [Information] Path /api/campus/list
2017-10-07 13:38:03.471 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-07 13:50:02.111 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-07 13:51:57.275 +02:00 [Information] Path /
2017-10-07 13:51:57.300 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yEI9E_6DSe0w7xuWf3KacO3JwgDuzkQWFb8eWfqGYBIoH701NwzuCWsgtkuUWMVyBCP1AU0g9q2XU1MUUOyQ8YuI1MpJDuiSFuz_M2cMzEJS-Gy-ccqhV0zjj9sAcAtWdc0-fpDI4IFWRuDu_zfLIuXfTNARqk3Y98yg1V2rbnqVA
2017-10-07 13:55:00.748 +02:00 [Information] Path /
2017-10-07 13:55:00.889 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yHN9bKEg4wZIukL1pqTcHA9X7mc3Rq7Om39nt1wlxpUmySMSTY3MWRxpjHmWvTfVXdMUfYYTctzYgFY5E2i0pZfX-fjlqs42bK-ycpRq5fF6SlfUmSMaQf4Xu_JK9xFzg_WS-JpfYMsJ0TBe3F3gamtko_yfu6wP-2Rx8O2_AV25w
2017-10-07 14:03:33.510 +02:00 [Information] Path /api/campus/current/participations
2017-10-07 14:03:43.121 +02:00 [Information] Path /projects
