2017-12-02 12:15:02.935 +01:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-12-02 12:17:34.729 +01:00 [Information] Path /
2017-12-02 12:17:34.924 +01:00 [Information] New Token CfDJ8IrF9M25U-tEjTLd1rxV3vjB3hsYdhSK3NmJi1HirpCO9pAOFrC0sxLE05KYwU559fzKDIupy_Dx2dtlj6xGgPau0HHQfIlQ1wDNIIsu-NA56wtywJWe1oJUeDMUMPNZwLnjFbM_gU0PiSYzF79dsnYM0RYxi_Yj8WUPit1ipeusQYGqH9kAyXs582jAuUZyhw
2017-12-02 12:21:03.506 +01:00 [Information] Path /api/user/logout
2017-12-02 12:21:04.384 +01:00 [Information] Kilepes: True
2017-12-02 12:21:04.670 +01:00 [Information] Path /api/xsrftoken/get
2017-12-02 12:21:12.699 +01:00 [Information] Path /api/user/login
2017-12-02 12:21:14.277 +01:00 [Information] Belepes: False
2017-12-02 12:21:14.467 +01:00 [Information] Path /api/xsrftoken/get
2017-12-02 12:21:20.995 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-12-02 12:22:08.367 +01:00 [Information] Path /api/projectdetails/projectmeetings/add
2017-12-02 12:23:05.416 +01:00 [Information] Path /projectmeetings/list
2017-12-02 12:23:23.074 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-12-02 12:23:29.130 +01:00 [Information] Path /api/projectdetails/projectmeetings/details/bac517c7-ad5b-4137-9e0b-eb81c195dbf2
2017-12-02 12:42:31.203 +01:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-12-02 12:45:32.082 +01:00 [Information] Path /api/projectdetails/projectmeetings/details/bac517c7-ad5b-4137-9e0b-eb81c195dbf2
2017-12-02 12:45:35.115 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-12-02 12:45:39.863 +01:00 [Information] Path /projectmeetings/list
2017-12-02 12:46:57.181 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-12-02 12:47:26.348 +01:00 [Information] Path /api/projectdetails/projectmeetings/add
2017-12-02 12:47:39.094 +01:00 [Information] Path /projectmeetings/list
2017-12-02 12:47:57.160 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-12-02 12:49:58.156 +01:00 [Information] Path /projectmeetings/list
2017-12-02 12:50:06.563 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-12-02 12:51:40.005 +01:00 [Information] Path /api/projectdetails/projectmeetings/details/bac517c7-ad5b-4137-9e0b-eb81c195dbf2
2017-12-02 13:09:35.713 +01:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-12-02 13:16:01.739 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-12-02 13:16:01.758 +01:00 [Information] Path /projectmeetings/list
2017-12-02 13:18:30.197 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-12-02 13:21:15.804 +01:00 [Information] Path /api/projectdetails/projectmeetings/add
2017-12-02 13:21:24.881 +01:00 [Information] Path /api/project/subscriber/list
2017-12-02 13:21:55.807 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
