2017-11-10 13:28:41.419 +01:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-11-10 13:42:39.662 +01:00 [Information] Path /
2017-11-10 13:42:39.915 +01:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yHngLnqscrnvUSjKuHSQkX5ji1TLqWlQJ3jtncPgu9XfDdLW1wlILzwzxqjkEZJ8EJ1zqFBmRw91QyNY3ClzTe7Wt9MZAcsEuOT9lCiNzgYWiS-O3Grmh9fSgF2YDHIMR8njXR1qMYWg_lsXLmgU0sQqspt9ss40uxNWLwQiPvCTg
2017-11-10 13:44:00.510 +01:00 [Information] Path /
2017-11-10 13:44:00.519 +01:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yEbNg8gvmHnvNxRCuAbap0e34aZsCZ9cKFzrhgmyzIgL3VpB6DFax92P22aJf5dtCEixUMJlfaTMZjHQ_ksEPYPei1YRXlTA4c4fOEOX1c7aGg5UYwSpMyAJweAJIxH_nQSP3hk0LOg1dkB0zToTWHHjST5_kix_R_YsMADu0wrcg
2017-11-10 13:46:17.588 +01:00 [Information] Path /api/user/logout
2017-11-10 13:46:17.944 +01:00 [Information] Kilepes: True
2017-11-10 13:46:18.203 +01:00 [Information] Path /api/xsrftoken/get
2017-11-10 13:49:52.551 +01:00 [Information] Path /api/user/login
2017-11-10 13:49:58.795 +01:00 [Information] Belepes: False
2017-11-10 13:49:58.944 +01:00 [Information] Path /api/xsrftoken/get
2017-11-10 13:51:06.374 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-11-10 13:51:46.323 +01:00 [Information] Path /api/projectdetails/projectmeetings/add
2017-11-10 13:52:00.110 +01:00 [Information] Path /api/project/subscriber/list
2017-11-10 13:52:06.322 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-11-10 15:32:52.032 +01:00 [Information] Path /
2017-11-10 15:32:52.374 +01:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yFUjcdcaOL2a50gsNI8WzkFc8qpEl4UqtqYiCR8ur0jDxTAiTZLYIAKkK2aWXnYRfPXECY6iXmUreXo68lBvP_GYKD6U86KS3q69QXGBo17RJkR_Z03SHq5-Vd7QQTZwHonz5-Dj1Tpm2sk6Wjm0DHj71FSglF_DYvFSx2nVDHk7g
2017-11-10 15:33:20.050 +01:00 [Information] Path /projectmeetings/list
2017-11-10 15:33:30.519 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-11-10 15:34:41.729 +01:00 [Information] Path /api/user/logout
2017-11-10 15:34:43.637 +01:00 [Information] Kilepes: True
2017-11-10 15:34:43.798 +01:00 [Information] Path /api/xsrftoken/get
2017-11-10 15:36:27.334 +01:00 [Information] Path /api/user/login
2017-11-10 15:36:29.392 +01:00 [Information] Belepes: False
2017-11-10 15:36:29.581 +01:00 [Information] Path /api/xsrftoken/get
2017-11-10 15:36:34.602 +01:00 [Information] Path /api/campus/list
2017-11-10 15:36:56.043 +01:00 [Information] Path /api/campus/edit
