2018-03-29 14:26:29.543 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2018-03-29 14:26:38.513 +02:00 [Information] Path /
2018-03-29 14:26:38.543 +02:00 [Information] New Token CfDJ8PE7b0qRk6VCuhTEcflVCCWee0QgCzqSj0PhF69jlWEFNi-m6aBB06oiYZZBz-p49nEmj-fySKfx-ZfQ4SNv0ELNtPAfkOZrXE65qYdWz0UKRydn9UOODX334IeB0UHJPSQ8BScYZaQnxG3UdlqCgKs
2018-03-29 14:26:47.762 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:27:07.931 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:27:14.479 +02:00 [Information] Path /api/user/login
2018-03-29 14:27:14.827 +02:00 [Information] Belepes: False
2018-03-29 14:27:14.881 +02:00 [Information] Path /api/xsrftoken/get
2018-03-29 14:27:18.599 +02:00 [Information] Path /api/campus/list
2018-03-29 14:27:26.618 +02:00 [Information] Path /api/user/list
2018-03-29 14:27:26.634 +02:00 [Information] Supporting role True
2018-03-29 14:27:29.125 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:27:50.384 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:27:57.446 +02:00 [Information] Path /api/campus/list
2018-03-29 14:28:11.623 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:28:24.023 +02:00 [Information] Path /api/project/current/list
2018-03-29 14:28:32.813 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:28:48.955 +02:00 [Information] Path /api/campus/list
2018-03-29 14:28:48.965 +02:00 [Information] Path /api/project/continuable/list
2018-03-29 14:28:54.018 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:29:12.837 +02:00 [Information] Path /api/project/add
2018-03-29 14:29:13.045 +02:00 [Information] Path /api/project/current/list
2018-03-29 14:29:15.197 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:29:23.911 +02:00 [Information] Path /api/project/subscriber/list
2018-03-29 14:29:33.661 +02:00 [Information] Path /api/user/list
2018-03-29 14:29:33.663 +02:00 [Information] Supporting role True
2018-03-29 14:29:36.396 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:29:49.159 +02:00 [Information] Path /api/user/add
2018-03-29 14:29:49.178 +02:00 [Information] Hozzaadas: True
2018-03-29 14:29:49.194 +02:00 [Information] PasswordTooShort Passwords must be at least 4 characters.
2018-03-29 14:29:49.198 +02:00 [Information] PasswordRequiresUniqueChars Passwords must use at least 1 different characters.
2018-03-29 14:29:57.587 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:30:16.185 +02:00 [Information] Path /api/user/add
2018-03-29 14:30:16.188 +02:00 [Information] Hozzaadas: True
2018-03-29 14:30:16.225 +02:00 [Information] InvalidUserName User name '' is invalid, can only contain letters or digits.
2018-03-29 14:30:16.229 +02:00 [Information] InvalidEmail Email '' is invalid.
2018-03-29 14:30:18.795 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:30:28.840 +02:00 [Information] Path /api/user/add
2018-03-29 14:30:28.843 +02:00 [Information] Hozzaadas: True
2018-03-29 14:30:29.057 +02:00 [Information] Path /api/user/list
2018-03-29 14:30:29.060 +02:00 [Information] Supporting role True
2018-03-29 14:30:36.415 +02:00 [Information] Path /api/user/logout
2018-03-29 14:30:36.434 +02:00 [Information] Kilepes: True
2018-03-29 14:30:36.441 +02:00 [Information] Path /api/xsrftoken/get
2018-03-29 14:30:39.994 +02:00 [Information] Path /dist/__webpack_hmr
2018-03-29 14:30:43.462 +02:00 [Information] Path /api/user/login
