2017-10-20 20:58:16.871 +02:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-10-20 20:59:49.086 +02:00 [Information] Path /
2017-10-20 20:59:50.917 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yE0gx-ugzaj4MXpNAz6-U2g96XU4M3ev7Q4Wtw8M2JEW2GuSk8cIA8-dUHoo5gAQLtqRdfUxN9pGKzVmF3pUtXdkPLyeKopTFGbQjZODNGMBsr48aQxU10ZOUQEin6wXwk
2017-10-20 21:00:43.810 +02:00 [Information] Path /
2017-10-20 21:00:44.035 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yHvS3leJpeY7m7aQcGn01-nrxlAyTPJQYHhwos422OqBomZFsGv-3YK1V8pF5a4z6btT_fJPNq9OMZ187i0p_lOc05zoT2YTYOLc6zUZOr7lXxVb4re8DgU-GfRpVwrrw8
2017-10-20 21:01:18.867 +02:00 [Information] Path /
2017-10-20 21:01:19.367 +02:00 [Information] New Token CfDJ8Ny3EdM3ZS5LtWSy5cml2yHus0J-iKTMMSx0PXekJspVH3FhxCA7JfsfAP14QkLAKWZkHYItEHdrZz5KJO2izTDhakucqas59QfFN5klM5IscfQh0ab1lncay5f3nMEbP_jwMgJNRaemoZ3ywiyNxb0
2017-10-20 21:04:03.163 +02:00 [Information] Path /api/user/login
2017-10-20 21:04:06.725 +02:00 [Information] Belepes: False
2017-10-20 21:04:06.834 +02:00 [Information] Path /api/xsrftoken/get
2017-10-20 21:04:09.179 +02:00 [Information] Path /api/campus/current/participations
2017-10-20 21:04:16.556 +02:00 [Information] Path /api/project/current/list
2017-10-20 21:04:19.365 +02:00 [Information] Path /api/project/current/active/list
2017-10-20 21:04:27.185 +02:00 [Information] Path /api/user/list
2017-10-20 21:04:27.428 +02:00 [Information] Supporting role True
2017-10-20 21:18:32.096 +02:00 [Information] Path /api/user/add
2017-10-20 21:18:35.998 +02:00 [Information] Path /api/user/list
2017-10-20 21:18:36.021 +02:00 [Information] Supporting role True
2017-10-20 21:18:49.340 +02:00 [Information] Path /api/user/logout
2017-10-20 21:18:49.475 +02:00 [Information] Kilepes: True
