2017-11-30 22:55:41.608 +01:00 [Information] Server=localhost\SQLEXPRESS;Database=evomanagerdb;Trusted_Connection=True;
2017-11-30 23:14:26.112 +01:00 [Information] Path /
2017-11-30 23:14:26.185 +01:00 [Information] New Token CfDJ8IrF9M25U-tEjTLd1rxV3viL_7tvnJSELQ6q_hQ7DpYsZIe9ngAgS6-ChCuZuFLEsCqn0rz3qwBSdLA6iikjaCBgUNz_ZTq8CPN4srdvspIfatAd136Vigld8oz0T__htULCz00LdrybvcnF0JtREuI
2017-11-30 23:17:28.148 +01:00 [Information] Path /
2017-11-30 23:17:28.166 +01:00 [Information] New Token CfDJ8IrF9M25U-tEjTLd1rxV3vifTsS-0KsYvseKuBdZjttdneCJhBq-TypH7-j7SCVb24VDE7d4neD9ec2Cexx1kdxuyBvLH3i0n828MRu5ED4pn5vYU-3KTjbE32Q07vIN3Et_zg6dx-EFDraRMgBbdF0
2017-11-30 23:18:17.749 +01:00 [Information] Path /api/user/list
2017-11-30 23:18:18.044 +01:00 [Information] Supporting role True
2017-11-30 23:18:48.857 +01:00 [Information] Path /api/user/login
2017-11-30 23:18:50.463 +01:00 [Information] Belepes: False
2017-11-30 23:18:50.661 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:18:54.642 +01:00 [Information] Path /api/campus/current
2017-11-30 23:18:58.317 +01:00 [Information] Path /api/campus/list
2017-11-30 23:19:27.807 +01:00 [Information] Path /api/campus/edit
2017-11-30 23:19:29.695 +01:00 [Information] Path /api/campus/list
2017-11-30 23:19:41.421 +01:00 [Information] Path /api/user/logout
2017-11-30 23:19:41.727 +01:00 [Information] Kilepes: True
2017-11-30 23:19:41.801 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:19:53.119 +01:00 [Information] Path /api/user/login
2017-11-30 23:19:53.570 +01:00 [Information] Belepes: False
2017-11-30 23:19:53.610 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:19:57.942 +01:00 [Information] Path /api/project/current/active/list
2017-11-30 23:20:22.620 +01:00 [Information] Path /api/campus/current/participations
2017-11-30 23:20:33.138 +01:00 [Information] Path /api/user/logout
2017-11-30 23:20:33.312 +01:00 [Information] Kilepes: True
2017-11-30 23:20:33.421 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:20:46.681 +01:00 [Information] Path /api/user/login
2017-11-30 23:20:47.091 +01:00 [Information] Belepes: False
2017-11-30 23:20:47.174 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:20:54.313 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-11-30 23:20:58.651 +01:00 [Information] Path /api/projectdetails/projectmeetings/details/2f2dd4be-07aa-49d1-8705-d546a0655aad
2017-11-30 23:21:08.468 +01:00 [Information] Path /api/projectdetails/projectmeetings/participations/save
2017-11-30 23:21:16.412 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-11-30 23:21:19.117 +01:00 [Information] Path /api/projectdetails/projectmeetings/details/2f2dd4be-07aa-49d1-8705-d546a0655aad
2017-11-30 23:21:25.726 +01:00 [Information] Path /api/project/subscriber/list
2017-11-30 23:21:42.536 +01:00 [Information] Path /api/user/list
2017-11-30 23:21:42.684 +01:00 [Information] Supporting role True
2017-11-30 23:21:51.549 +01:00 [Information] Path /api/user/logout
2017-11-30 23:21:51.783 +01:00 [Information] Kilepes: True
2017-11-30 23:21:51.912 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:22:03.249 +01:00 [Information] Path /api/user/login
2017-11-30 23:22:03.610 +01:00 [Information] Belepes: False
2017-11-30 23:22:03.675 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:22:07.542 +01:00 [Information] Path /api/project/subscriber/list
2017-11-30 23:22:07.898 +01:00 [Information] Path /Account/AccessDenied
2017-11-30 23:22:10.513 +01:00 [Information] Path /api/project/current/active/list
2017-11-30 23:22:10.584 +01:00 [Information] Path /Account/AccessDenied
2017-11-30 23:22:14.076 +01:00 [Information] Path /api/campus/current
2017-11-30 23:22:16.920 +01:00 [Information] Path /api/campus/apply
2017-11-30 23:22:25.033 +01:00 [Information] Path /api/project/current/active/list
2017-11-30 23:22:34.553 +01:00 [Information] Path /api/project/subscribe
2017-11-30 23:22:35.677 +01:00 [Information] Path /api/project/current/active/list
2017-11-30 23:22:50.873 +01:00 [Information] Path /api/user/logout
2017-11-30 23:22:50.914 +01:00 [Information] Kilepes: True
2017-11-30 23:22:50.978 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:23:01.890 +01:00 [Information] Path /api/user/login
2017-11-30 23:23:02.398 +01:00 [Information] Belepes: False
2017-11-30 23:23:02.446 +01:00 [Information] Path /api/xsrftoken/get
2017-11-30 23:23:06.215 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-11-30 23:23:09.435 +01:00 [Information] Path /api/project/subscriber/list
2017-11-30 23:23:42.655 +01:00 [Information] Path /api/project/current/active/list
2017-11-30 23:23:57.733 +01:00 [Information] Path /api/projects/subscribes/student/modify
2017-11-30 23:24:11.500 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-11-30 23:24:19.795 +01:00 [Information] Path /api/project/subscriber/list
2017-11-30 23:24:45.070 +01:00 [Information] Path /api/projectdetails/projectmeetings/list
2017-11-30 23:24:47.930 +01:00 [Information] Path /api/project/subscriber/list
2017-11-30 23:24:51.069 +01:00 [Information] Path /api/project/current/list
2017-11-30 23:24:56.016 +01:00 [Information] Path /api/project/current/active/list
2017-11-30 23:28:46.803 +01:00 [Information] Path /subscribe/add
2017-11-30 23:28:59.050 +01:00 [Information] Path /api/project/current/active/list
2017-11-30 23:29:38.057 +01:00 [Information] Path /api/project/subscriber/list
2017-11-30 23:29:47.370 +01:00 [Information] Path /api/project/current/active/list
2017-11-30 23:29:54.067 +01:00 [Information] Path /api/project/subscribes/student/modify
